127.0.0.1 - - [13/Apr/2020:19:50:50 +0200] "GET / HTTP/1.1" 404 633
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "GET /Foro/servlet/com.example.Foro.MyUI$MyUIServlet HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "GET /Foro/VAADIN/vaadinBootstrap.js?v=8.10.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "GET /Foro/VAADIN/widgetsets/com.vaadin.DefaultWidgetSet/com.vaadin.DefaultWidgetSet.nocache.js?1586800251477 HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "GET /Foro/VAADIN/themes/mytheme/styles.css?v=8.10.3 HTTP/1.1" 200 358326
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "GET /Foro/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "GET /Foro/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "GET /Foro/VAADIN/themes/valo/fonts/open-sans/OpenSans-Semibold-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "GET /Foro/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:51 +0200] "POST /Foro/servlet/com.example.Foro.MyUI$MyUIServlet?v-1586800251478 HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:50:52 +0200] "POST /Foro/UIDL/?v-uiId=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Apr/2020:19:55:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:00:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:05:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:10:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:15:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:20:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:25:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:30:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:35:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:40:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:45:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:50:50 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:20:55:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:00:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:05:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:10:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:15:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:20:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:25:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:30:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:35:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:40:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:45:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:50:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:21:55:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:00:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:05:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:10:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:15:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:20:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:25:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:30:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:35:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:40:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:45:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:50:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:22:55:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:00:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:05:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:10:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:15:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:20:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:25:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:30:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:35:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:40:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:45:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:50:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:23:55:51 +0200] "POST /Foro/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
